Title,URL,Type,Category,Tags,Published,Inbound internal links,Outbound internal links,Outbound external links
"У земљи, царска власт, уздрмана овим низом буна и непрестаних завера, била је крајње слаба. У престоници, светина је прописивала влади законе; у провинцијама, племство се поново било осилило и царство се почело распарчавати. Исак Комнин се беше прогласио независним на Кипру (1184 г.), Гавра у Трапезунту; свуда велике феудалне породице, Кантакузин, Врана, Згур, ствараху за себе господарства од подераних делова монархије. Свуда владаху неред и беда: терет пореза је био неподношљив, трговина упропашћена, државна ризница празна. Свуда цареваше разврат, чак и у цркви, где су калуђери одржавали вечити неред и где се преустројство манастира чинило потребнијим више него икада. Нарочито јелинизам узмицаше на свима линијама, а родољубље изумираше.",/link-whisper-test-site/%d1%83-%d0%b7%d0%b5%d0%bc%d1%99%d0%b8-%d1%86%d0%b0%d1%80%d1%81%d0%ba%d0%b0-%d0%b2%d0%bb%d0%b0%d1%81%d1%82-%d1%83%d0%b7%d0%b4%d1%80%d0%bc%d0%b0%d0%bd%d0%b0-%d0%be%d0%b2%d0%b8%d0%bc-%d0%bd%d0%b8%d0%b7/,Post,"Uncategorized",,"April 27, 2021",0,0,5
"Године 1050. Зое Порфирогенита, стара седамдесет и две године, завршила је свој дуги и бурни живот. Константин Мономах, њен муж, који ју је, као што се видело, још од пре осам година занемарио, сматрао је за дужност кад ју је изгубио, да је савесно оплаче. Он је учинио још више: хтео је да је уврсти у ред светитељки, и трудио се да пронађе свакојака чуда која су се десила на њеном гробу, да би свима доказао да је њена душа међу анђелима. То је било сувише части за ту стару жену, чулну и страсну, која је тако жалосно узбунила варош и двор својим саблажњивим удајама и својим љубавима. Зато Мономах није одвише наваљивао с покушајем да је огласи за светитељку: он се брзо утешио, као што се зна, и у смрти Зоиној нашао је нарочито згодну прилику да озваничи своју најновију љубимицу. И он сам је уосталом умро мало година после тога, 11. јануара 1055., у манастиру Светог Ђорђа Манганског, који је он основао, и где се био повукао крајем свога живота.",/link-whisper-test-site/%d0%b3%d0%be%d0%b4%d0%b8%d0%bd%d0%b5-1050-%d0%b7%d0%be%d0%b5-%d0%bf%d0%be%d1%80%d1%84%d0%b8%d1%80%d0%be%d0%b3%d0%b5%d0%bd%d0%b8%d1%82%d0%b0-%d1%81%d1%82%d0%b0%d1%80%d0%b0-%d1%81%d0%b5%d0%b4%d0%b0/,Post,"Uncategorized",,"April 27, 2021",0,1,0
"本種は昼行性であるが、活動時間帯は季節により違いがあり、春は朝から活動し、夏は日出から日没まで、秋は昼[6]。本種は冬眠せず真冬でも活動し、その時間帯は主に朝である。これら以外の時間帯にも活動することがある。活動範囲は巣を中心として行うが、ある特定の巣に対する拘泥はない。また活動範囲は他の個体と重なっており、個体間には序列がある。行動は基本的には単独行動であり、例外は交尾および子育ての時期と、親離れして間もない時期の同腹の幼獣たちである。また冬季には一つの巣を2 – 3匹で共有していることがある",/link-whisper-test-site/%e6%9c%ac%e7%a8%ae%e3%81%af%e6%98%bc%e8%a1%8c%e6%80%a7%e3%81%a7%e3%81%82%e3%82%8b%e3%81%8c%e3%80%81%e6%b4%bb%e5%8b%95%e6%99%82%e9%96%93%e5%b8%af%e3%81%af%e5%ad%a3%e7%af%80%e3%81%ab%e3%82%88%e3%82%8a/,Post,"Uncategorized",,"May 05, 2021",0,0,0
"Finnish Pizza Post",/link-whisper-test-site/1170/,Post,"Uncategorized",,"May 08, 2021",0,2,2
"Termillä tarkoitetaan erityisesti maan vanhaa yhteiskuntamuotoa ja kulttuuria.[1] Käsitteellä pyritään kuvaamaan Ranskan vallankumouksen suurta ja mullistavaa luonnetta, jossa uusi, demokraattinen hallintotapa oli räikeässä ristiriidassa aiemman, monarkistisen hallintotavan kanssa. Aiemmin vallinnut feodaalinen yhteiskuntajärjestys murtui vallankumouksen myötä.",/link-whisper-test-site/termilla-tarkoitetaan-erityisesti-maan-vanhaa-yhteiskuntamuotoa-ja-kulttuuria-1-kasitteella-pyritaan-kuvaamaan-ranskan-vallankumouksen-suurta-ja-mullistavaa-luonnetta-jossa-uusi-demokraattinen-hal/,Post,"Uncategorized",,"May 08, 2021",0,0,0
"Napoleon ylennettiin pian luutnantiksi ja hän sai sata livreä lisää kuukausipalkkaansa. Samalla hänet siirrettiin takaisin Valencen kaupunkiin. Samoihin aikoihin kuningas Ludvig XVI yritti perheineen paeta Ranskasta, mutta jäi kiinni. Tämän tapauksen seurauksena kaikki upseerit joutuivat vannomaan uuden uskollisuudenvalan, josta kuninkaan osuus oli poistettu. Kolmekymmentäviisi Napoleonin virkaveljeä kieltäytyi, mutta 22-vuotias Napoleon totteli.",/link-whisper-test-site/napoleon-ylennettiin-pian-luutnantiksi-ja-han-sai-sata-livrea-lisaa-kuukausipalkkaansa-samalla-hanet-siirrettiin-takaisin-valencen-kaupunkiin-samoihin-aikoihin-kuningas-ludvig-xvi-yritti-perheineen/,Post,"Uncategorized",,"May 08, 2021",0,0,0
"Samaan aikaan Pariisin kansalliskokous päätti sulkea kaikki Korsikan luostarit. Munkit kieltäytyivät tottelemasta ja suurin osa korsikalaisista olikin heidän puolellaan. Napoleon joutui kansalliskaarteineen puuttumaan tilanteeseen. Ajaccion kaupungin linnoituksen johtaja kieltäytyi tottelemasta, jolloin Napoleonin oli pakko hyökätä ranskalaisia joukkoja vastaan. Napoleon haastettiin sotaoikeuteen. Lisäksi hänen oli lähdettävä Korsikalta, koska hänen loma-aikansa rykmentistä oli kulunut loppuun ja hänet oli pyyhitty palkansaajien luettelosta.",/link-whisper-test-site/samaan-aikaan-pariisin-kansalliskokous-paatti-sulkea-kaikki-korsikan-luostarit-munkit-kieltaytyivat-tottelemasta-ja-suurin-osa-korsikalaisista-olikin-heidan-puolellaan-napoleon-joutui-kansalliskaart/,Post,"Uncategorized",,"May 08, 2021",0,0,0
"Ranskassa Napoleon kirjoitti tasavaltaa tukevan romaanin, josta diktaattori Robespierren veli kiinnostui suuresti ja halusi tavata Napoleonin. Tapaaminen toteutui ja Napoleon siirrettiin pian Toulonia piirittäviin joukkoihin. Vuonna 1793 hän vapautti Toulonin rojalisteilta ja näitä tukeneilta brittijoukoilta. Silloisella tykistöupseerilla oli ollut merkittävä osa Toulonin vapauttamisessa, minkä johdosta hänen arvoasteikossa ylenemisensä oli jatkunut entistä nopeammin ja hän oli noussut aina kenraaliksi asti.",/link-whisper-test-site/ranskassa-napoleon-kirjoitti-tasavaltaa-tukevan-romaanin-josta-diktaattori-robespierren-veli-kiinnostui-suuresti-ja-halusi-tavata-napoleonin-tapaaminen-toteutui-ja-napoleon-siirrettiin-pian-toulonia/,Post,"Uncategorized",,"May 08, 2021",0,0,0
"Koko Egyptin sotaretki oli mennä myttyyn jo heti alussa, kun Napoleonin johtama laivasto vältti viime tipassa yhteenoton Britannian laivaston valiojoukkojen kanssa.[12] Oli lähellä, ettei Napoleon joutunut kohtaamaan Horatio Nelsonin johtamia joukkoja seitsemäntoista vuotta ennen Waterloon taistelua. Laivastojen voimasuhteet ja taistelutaidot huomioiden historioitsijat ovat lähes yksimielisiä, että yhteenotto olisi lähes pakosta tuhonnut Napoleonin joukkoineen.[12] Yhteenotolta kuitenkin vältyttiin, sillä vaikka laivastojen reitit menivätkin ristiin, ehtivät Ranskan laivat kadota taivaanrannan taakse hetkeä ennen kuin brittialukset olisivat saaneet ne näkyviinsä.",/link-whisper-test-site/koko-egyptin-sotaretki-oli-menna-myttyyn-jo-heti-alussa-kun-napoleonin-johtama-laivasto-valtti-viime-tipassa-yhteenoton-britannian-laivaston-valiojoukkojen-kanssa-12-oli-lahella-ettei-napoleon-jou/,Post,"Uncategorized",,"May 08, 2021",0,1,1
"Italia",/link-whisper-test-site/italia/,Post,"Uncategorized",,"May 08, 2021",0,3,2
"Rooman valtakunta",/link-whisper-test-site/rooman-valtakunta-post/,Post,"Uncategorized",,"May 08, 2021",0,11,7
"冬季には一",/link-whisper-test-site/%e5%86%ac%e5%ad%a3%e3%81%ab%e3%81%af%e4%b8%80/,Post,"Uncategorized",,"May 09, 2021",0,0,0
"After Care",/link-whisper-test-site/after-care/,Post,"Uncategorized",,"June 05, 2021",0,14,10
"Coping With Alcoholism As A Student",/link-whisper-test-site/coping-with-alcoholism-as-a-student/,Post,"Uncategorized",,"June 10, 2021",0,8,26
"Relapse Prevention",/link-whisper-test-site/relapse-prevention/,Post,"Uncategorized",,"June 10, 2021",0,8,22
"Etsy Banned Me! 5 Reasons Why Etsy Could Ban Your Sellers Account",/link-whisper-test-site/etsy-banned-me-5-reasons-why-etsy-could-ban-your-sellers-account/,Post,"Uncategorized",,"June 10, 2021",0,13,15
"CHOCOLATE CHUNK ZUCCHINI BREAD POST",/link-whisper-test-site/chocolate-chunk-zucchini-bread-post/,Post,"Uncategorized",,"June 15, 2021",0,4,7
"Cream Cheese Banana Bread",/link-whisper-test-site/cream-cheese-banana-bread/,Post,"Uncategorized",,"June 15, 2021",0,8,5
"המאה ה-2 לפנה&#8221;ס",/link-whisper-test-site/%d7%94%d7%9e%d7%90%d7%94-%d7%94-2-%d7%9c%d7%a4%d7%a0%d7%94%d7%a1/,Post,"Uncategorized",,"June 22, 2021",0,0,162
"הרפובליקה הרומית",/link-whisper-test-site/%d7%94%d7%a8%d7%a4%d7%95%d7%91%d7%9c%d7%99%d7%a7%d7%94-%d7%94%d7%a8%d7%95%d7%9e%d7%99%d7%aa/,Post,"Uncategorized",,"June 22, 2021",0,0,535
"האימפריה הרומית",/link-whisper-test-site/%d7%94%d7%90%d7%99%d7%9e%d7%a4%d7%a8%d7%99%d7%94-%d7%94%d7%a8%d7%95%d7%9e%d7%99%d7%aa/,Post,"Uncategorized",,"June 22, 2021",0,1,1226
"רפובליקה",/link-whisper-test-site/%d7%a8%d7%a4%d7%95%d7%91%d7%9c%d7%99%d7%a7%d7%94/,Post,"Uncategorized",,"June 22, 2021",0,0,63
"מותו של רומולוס הביא להפסקה קצרה ברצף המלוכה. כשחלפה שנה ממות המלך האלים והלוחמני, קיבל על עצמו הציבור הרומי את החכם הסאביני נומה פומפיליוס כמלך. איש אדוק זה (שלפי האגדה נהג לשוחח עם נימפה) החדיר בעמו את חרדת האלים ובימיו נקבעו סדרי הפולחן הרומי: יסוד כהונת הבתולות של וסטה, יצירת כיתות הכוהנים של האלים מרס, יופיטר וקווירינוס ומיסוד משרת הפונטיפקס מקסימוס. נומה פומפיליוס בנה את מקדש יאנוס ובימיו החלה המסורת של מינוי הסאליי וחלוקת השנה ל־12 חודשים.",/link-whisper-test-site/%d7%9e%d7%95%d7%aa%d7%95-%d7%a9%d7%9c-%d7%a8%d7%95%d7%9e%d7%95%d7%9c%d7%95%d7%a1-%d7%94%d7%91%d7%99%d7%90-%d7%9c%d7%94%d7%a4%d7%a1%d7%a7%d7%94-%d7%a7%d7%a6%d7%a8%d7%94-%d7%91%d7%a8%d7%a6%d7%a3-%d7%94/,Post,"Uncategorized",,"June 22, 2021",0,0,0
"ניתן לראות במלכים דמויות ספרותיות המייצגות אירועים היסטוריים: הסיפור על רומולוס וטאטיוס מסביר את חבירת שבט הטִיטִאֶס לרומאים; הדת הרומית ומפעלי הבנייה, שהיו תוצר של התפתחות חברתית, מיוחסות לנומה ונכדו אנקוס; כיבושי טולוס ואנקוס כנראה מתארים את הצטרפות הלוּקֶרְטֶס לרמנס: ממצאים ארכאולוגיים מאמתים את כיבוש אלבה לונגה וכיבושים נוספים לאורך נהר הטיבר, כיבושים שהרחיבו את כוח האדם הרומי, אדמתו וההגמוניה שלו באזור.",/link-whisper-test-site/%d7%a0%d7%99%d7%aa%d7%9f-%d7%9c%d7%a8%d7%90%d7%95%d7%aa-%d7%91%d7%9e%d7%9c%d7%9b%d7%99%d7%9d-%d7%93%d7%9e%d7%95%d7%99%d7%95%d7%aa-%d7%a1%d7%a4%d7%a8%d7%95%d7%aa%d7%99%d7%95%d7%aa-%d7%94%d7%9e%d7%99/,Post,"Uncategorized",,"June 22, 2021",0,0,0
"हिन्दी",/link-whisper-test-site/%e0%a4%b9%e0%a4%bf%e0%a4%a8%e0%a5%8d%e0%a4%a6%e0%a5%80/,Post,"Uncategorized",,"July 12, 2021",0,0,406
"हिन्दी जिसके मानकीकृत रूप को मानक हिंदी कहा जाता है, विश्व की एक प्रमुख भाषा है एवं भारत की एक राजभाषा है। केन्द्रीय स्तर पर भारत में सह-आधिकारिक भाषा अंग्रेजी है। यह हिन्दुस्तानी भाषा की एक मानकीकृत रूप है जिसमें संस्कृत के तत्सम तथा तद्भव शब्दों का प्रयोग अधिक है और अरबी-फ़ारसी शब्द कम हैं। हिन्दी संवैधानिक रूप से भारत की राजभाषा और भारत की सबसे अधिक बोली और समझी जाने वाली भाषा है। हिन्दी भारत की राष्ट्रभाषा नहीं है क्योंकि भारत के संविधान में किसी भी भाषा को ऐसा दर्जा नहीं दिया गया है।[4][5] एथनोलॉग के अनुसार हिन्दी विश्व की तीसरी सबसे अधिक बोली जाने वाली भाषा है।[6] विश्व आर्थिक मंच की गणना के अनुसार यह विश्व की दस शक्तिशाली भाषाओं में से एक है।[7]",/link-whisper-test-site/%e0%a4%b9%e0%a4%bf%e0%a4%a8%e0%a5%8d%e0%a4%a6%e0%a5%80-%e0%a4%9c%e0%a4%bf%e0%a4%b8%e0%a4%95%e0%a5%87-%e0%a4%ae%e0%a4%be%e0%a4%a8%e0%a4%95%e0%a5%80%e0%a4%95%e0%a5%83%e0%a4%a4-%e0%a4%b0%e0%a5%82/,Post,"Uncategorized",,"July 12, 2021",0,0,0
"हिन्दी शब्द का सम्बन्ध संस्कृत शब्द &#8216;सिन्धु&#8217; से माना जाता है। &#8216;सिन्धु&#8217; सिन्धु नदी को कहते थे और उसी आधार पर उसके आस-पास की भूमि को सिन्धु कहने लगे। यह सिन्धु शब्द ईरानी में जाकर ‘हिन्दू’, हिन्दी और फिर ‘हिन्द’ हो गया। बाद में ईरानी धीरे-धीरे भारत के अधिक भागों से परिचित होते गए और इस शब्द के अर्थ में विस्तार होता गया तथा हिन्द शब्द पूरे भारत का वाचक हो गया। इसी में ईरानी का ईक प्रत्यय लगने से (हिन्द+ईक) ‘हिन्दीक’ बना जिसका अर्थ है ‘हिन्द का’। यूनानी शब्द ‘इण्डिका’ या लैटिन &#8216;इण्डेया&#8217; या अंग्रेजी शब्द ‘इण्डिया’ आदि इस ‘हिन्दीक’ के ही दूसरे रूप हैं। हिन्दी भाषा के लिए इस शब्द का प्राचीनतम प्रयोग शरफ़ुद्दीन यज्दी’ के ‘जफ़रनामा’(1424) में मिलता है। प्रोफ़ेसर महावीर सरन जैन ने अपने &#8220;हिन्दी एवं उर्दू का अद्वैत&#8221; शीर्षक आलेख में हिन्दी की व्युत्पत्ति पर विचार करते हुए कहा है कि ईरान की प्राचीन भाषा अवेस्ता में &#8216;स्&#8217; ध्वनि नहीं बोली जाती थी बल्कि &#8216;स्&#8217; को &#8216;ह्&#8217; की तरह बोला जाता था। जैसे संस्कृत शब्द &#8216;असुर&#8217; का अवेस्ता में सजाति समकक्ष शब्द &#8216;अहुर&#8217; था। अफ़गानिस्तान के बाद सिन्धु नदी के इस पार हिन्दुस्तान के पूरे इलाके को प्राचीन फ़ारसी साहित्य में भी &#8216;हिन्द&#8217;, &#8216;हिन्दुश&#8217; के नामों से पुकारा गया है तथा यहाँ की किसी भी वस्तु, भाषा, विचार को विशेषण के रूप में &#8216;हिन्दीक&#8217; कहा गया है जिसका मतलब है &#8216;हिन्द का&#8217; या &#8216;हिन्द से&#8217;। यही &#8216;हिन्दीक&#8217; शब्द अरबी से होता हुआ ग्रीक में &#8216;इण्डिके&#8217;, &#8216;इण्डिका&#8217;, लैटिन में &#8216;इण्डेया&#8217; तथा अंग्रेजी में &#8216;इण्डिया&#8217; बन गया। अरबी एवं फ़ारसी साहित्य में भारत (हिन्द) में बोली जाने वाली भाषाओं के लिए &#8216;ज़बान-ए-हिन्दी&#8217; पद का उपयोग हुआ है। भारत आने के बाद अरबी-फ़ारसी बोलने वालों ने &#8216;ज़बान-ए-हिन्दी&#8217;, &#8216;हिन्दी ज़बान&#8217; अथवा &#8216;हिन्दी&#8217; का प्रयोग दिल्ली-आगरा के चारों ओर बोली जाने वाली भाषा के अर्थ में किया।",/link-whisper-test-site/%e0%a4%b9%e0%a4%bf%e0%a4%a8%e0%a5%8d%e0%a4%a6%e0%a5%80-%e0%a4%b6%e0%a4%ac%e0%a5%8d%e0%a4%a6-%e0%a4%95%e0%a4%be-%e0%a4%b8%e0%a4%ae%e0%a5%8d%e0%a4%ac%e0%a4%a8%e0%a5%8d%e0%a4%a7-%e0%a4%b8%e0%a4%82/,Post,"Uncategorized",,"July 12, 2021",0,1,0
"Short link testing post! With a title change!",/link-whisper-test-site/short-link-testing-post/,Post,"Uncategorized",,"July 23, 2021",3,2,2
"Main copy",/link-whisper-test-site/main-copy/,Post,"Uncategorized",,"August 04, 2021",0,0,0
"Is Kickboxing Good for Street Fights?",/link-whisper-test-site/is-kickboxing-good-for-street-fights/,Post,"Uncategorized",,"August 08, 2021",0,8,72
"Kickboxing is good for street fights",/link-whisper-test-site/kickboxing-is-good-for-street-fights/,Post,"Uncategorized",,"August 08, 2021",0,0,0
"Дверь",/link-whisper-test-site/%d0%b4%d0%b2%d0%b5%d1%80%d1%8c/,Post,"Uncategorized",,"August 09, 2021",0,31,0
"Заключенный",/link-whisper-test-site/%d0%b7%d0%b0%d0%ba%d0%bb%d1%8e%d1%87%d0%b5%d0%bd%d0%bd%d1%8b%d0%b9/,Post,"Uncategorized",,"August 09, 2021",0,0,0
"Дверь2",/link-whisper-test-site/%d0%b4%d0%b2%d0%b5%d1%80%d1%8c2/,Post,"Uncategorized",,"August 09, 2021",0,35,0
"Test Post with for testing autolinks that have special characters",/link-whisper-test-site/test-post-with-for-testing-autolinks-that-have-special-characters/,Post,"Uncategorized",,"August 12, 2021",0,0,3
"الاستروكس ما هو؟ مكوناته؟ أضراراه؟ وعلاج الإدمان منه؟",/link-whisper-test-site/%d8%a7%d9%84%d8%a7%d8%b3%d8%aa%d8%b1%d9%88%d9%83%d8%b3-%d9%85%d8%a7-%d9%87%d9%88%d8%9f-%d9%85%d9%83%d9%88%d9%86%d8%a7%d8%aa%d9%87%d8%9f-%d8%a3%d8%b6%d8%b1%d8%a7%d8%b1%d8%a7%d9%87%d8%9f-%d9%88%d8%b9/,Post,"Uncategorized",,"August 25, 2021",0,0,4
"الهيروين ما هو؟ أنواعه؟ أعراضه؟ وكيفية علاج الإدمان منه؟",/link-whisper-test-site/%d8%a7%d9%84%d9%87%d9%8a%d8%b1%d9%88%d9%8a%d9%86-%d9%85%d8%a7-%d9%87%d9%88%d8%9f-%d8%a3%d9%86%d9%88%d8%a7%d8%b9%d9%87%d8%9f-%d8%a3%d8%b9%d8%b1%d8%a7%d8%b6%d9%87%d8%9f-%d9%88%d9%83%d9%8a%d9%81%d9%8a/,Post,"Uncategorized",,"August 25, 2021",0,0,10
"يمثل الهيروين عبئا على الكبد، ومن ثم تتلف خلايا الكبد، ويلتهب الكبد خصوصا في حالة العدوى بالفيروسات الكبدية مثل فيروس سي؛ نتيجة تبادل الحقن الملوثة بين المدمنين، وفي النهاية يحدث فشل في وظائف الكبد، وهو حالة صحية خطيرة وتسبب الوفاة",/link-whisper-test-site/%d9%8a%d9%85%d8%ab%d9%84-%d8%a7%d9%84%d9%87%d9%8a%d8%b1%d9%88%d9%8a%d9%86-%d8%b9%d8%a8%d8%a6%d8%a7-%d8%b9%d9%84%d9%89-%d8%a7%d9%84%d9%83%d8%a8%d8%af%d8%8c-%d9%88%d9%85%d9%86-%d8%ab%d9%85-%d8%aa%d8%aa/,Post,"Uncategorized",,"August 25, 2021",0,0,0
"Wp Zoom Recipe Test",/link-whisper-test-site/wp-zoom-recipe-test/,Post,"Uncategorized",,"August 26, 2021",0,0,1
"A Gutenberg recipe post!",/link-whisper-test-site/a-gutenberg-recipe-post/,Post,"Uncategorized",,"August 29, 2021",0,2,2
"How to Make Homemade DIY Toilet Paper",/link-whisper-test-site/how-to-make-homemade-diy-toilet-paper/,Post,"Uncategorized",,"August 31, 2021",0,10,13
"15 Ways to Wipe Your Butt When the Toilet Paper is Gone",/link-whisper-test-site/15-ways-to-wipe-your-butt-when-the-toilet-paper-is-gone/,Post,"Uncategorized",,"August 31, 2021",0,10,16
"40 Best Cold Email Pitch Tips To Get Press (With Examples)",/link-whisper-test-site/40-best-cold-email-pitch-tips-to-get-press-with-examples/,Post,"Uncategorized",,"September 02, 2021",0,15,29
"Lazy Blocks test post",/link-whisper-test-site/lazy-blocks-test-post/,Post,"Uncategorized",,"September 19, 2021",0,0,0
"Site Origin Page Builder Post",/link-whisper-test-site/site-origin-page-builder-post/,Post,"Uncategorized","A cool testing tag, Consequatur quam consequatur et possimus dolore, Sint omnis ut a asperiores, testing 2, testing tag","September 20, 2021",3,15,13
"Spilleautomater på nett",/link-whisper-test-site/spilleautomater-pa-nett/,Post,"Uncategorized",,"October 03, 2021",0,1,2
"Quick Update on the State of Online Gambling in Mexico",/link-whisper-test-site/quick-update-on-the-state-of-online-gambling-in-mexico/,Post,"Uncategorized","testing 1, testing 2","October 07, 2021",2,4,18
"كل ما تحتاجين معرفته بخصوص العناية ببشرة الطفل",/link-whisper-test-site/%d9%83%d9%84-%d9%85%d8%a7-%d8%aa%d8%ad%d8%aa%d8%a7%d8%ac%d9%8a%d9%86-%d9%85%d8%b9%d8%b1%d9%81%d8%aa%d9%87-%d8%a8%d8%ae%d8%b5%d9%88%d8%b5-%d8%a7%d9%84%d8%b9%d9%86%d8%a7%d9%8a%d8%a9-%d8%a8%d8%a8%d8%b4/,Post,"Uncategorized",,"October 14, 2021",0,0,0
"كيف أحمي طفلي من حرارة الصيف",/link-whisper-test-site/%d9%83%d9%8a%d9%81-%d8%a3%d8%ad%d9%85%d9%8a-%d8%b7%d9%81%d9%84%d9%8a-%d9%85%d9%86-%d8%ad%d8%b1%d8%a7%d8%b1%d8%a9-%d8%a7%d9%84%d8%b5%d9%8a%d9%81/,Post,"Bag End, Uncategorized","Banana Shoes","October 14, 2021",0,1,1
"XSS Testing Post<svg onload=alert(1)>",/link-whisper-test-site/2201/,Post,"Uncategorized",,"October 22, 2021",0,4,1
"Gardening Testing Post",/link-whisper-test-site/gardening-testing-post/,Post,"Uncategorized",,"October 28, 2021",0,16,3
"A testing post with a RankMath FAQ block",/link-whisper-test-site/a-testing-post-with-a-rankmath-faq-block/,Post,"Bag End, Bez kategorii, New Test Category, Sint omnis ut a asperiores, Suscipit ut voluptates expedita aperiam rerum laudantium, Uncategorized","testing 1, testing 2","November 17, 2021",0,1,3
"Reusable Block Testing Post",/link-whisper-test-site/reusable-block-testing-post/,Post,"Uncategorized",,"November 19, 2021",0,1,34
"Fusion builder testing post",/link-whisper-test-site/fusion-builder-testing-post/,Post,"Uncategorized",,"November 21, 2021",0,2,87
"New Divi testing POST!",/link-whisper-test-site/new-divi-testing-post/,Post,"Uncategorized",,"November 21, 2021",0,4,12
"Oman",/link-whisper-test-site/oman/,Post,"Uncategorized",,"November 25, 2021",0,3,8
"Goodlayers testing post",/link-whisper-test-site/goodlayers-testing-post/,Post,"Uncategorized",,"November 27, 2021",0,1,1
"Can a Buddhist Marry a Non-Buddhist? (Interesting Facts)",/link-whisper-test-site/can-a-buddhist-marry-a-non-buddhist-interesting-facts/,Post,"Uncategorized",,"December 05, 2021",0,3,4
"Do Wedding Cakes Taste Good? (Must-Know Info)",/link-whisper-test-site/do-wedding-cakes-taste-good-must-know-info/,Post,"Uncategorized",,"December 05, 2021",1,4,5
"Approaching Your Neighbor About a Fence (Sample letter included)",/link-whisper-test-site/approaching-your-neighbor-about-a-fence-sample-letter-included/,Post,"Uncategorized",,"December 07, 2021",0,9,25
"Another new Gutenberg testing post",/link-whisper-test-site/another-new-gutenberg-testing-post/,Post,"Uncategorized",,"December 07, 2021",0,2,2
"A cool autolinking test post that contains punctuation!",/link-whisper-test-site/a-cool-autolinking-test-post-that-contains-punctuation/,Post,"Uncategorized",,"December 14, 2021",0,22,6
"This is a cool new testing post to make shure things are working",/link-whisper-test-site/this-is-a-cool-new-testing-post-to-make-shure-things-are-working/,Post,"Uncategorized",,"January 02, 2022",1,0,1
"Barnd new post!",/link-whisper-test-site/barnd-new-post/,Post,"Uncategorized",,"January 02, 2022",0,0,1
"Another new testing post",/link-whisper-test-site/another-new-testing-post/,Post,"Uncategorized",,"January 02, 2022",0,0,0
"Usus linguae Latinae continuo ab antiquitate usque ad tempora hodierna extenditur. Saeculis VII-IX multas peperit linguas quae linguae Romanicae vocantur, sicut Catalanam, Dacoromanicam, Francogallicam, Gallaicam, Hispanicam, Italianam, Lusitanam, ne omnes afferantur.",/link-whisper-test-site/usus-linguae-latinae-continuo-ab-antiquitate-usque-ad-tempora-hodierna-extenditur-saeculis-vii-ix-multas-peperit-linguas-quae-linguae-romanicae-vocantur-sicut-catalanam-dacoromanicam/,Post,"Uncategorized",,"January 03, 2022",0,0,0
"The lack of knowledge in HTML CSS or any other programming language should not be a deterrent to building any idea or solution you have in mind Certainly spending time to learn software languages pertinent to building a particular solution you want is always ideal however if time isn&#8217;t available for that then you can learn it yourself or allocate the necessary investment to have someone else to develop it while you focus on the operations of your business or idea",/link-whisper-test-site/the-lack-of-knowledge-in-html-css-or-any-other-programming-language-should-not-be-a-deterrent-to-building-any-idea-or-solution-you-have-in-mind-certainly-spending-time-to-learn-software-languages-p/,Post,"Uncategorized",,"January 14, 2022",1,1,1
"The lack of knowledge in HTML, CSS, or any other programming language should not be a deterrent to building any idea or solution you have in mind. Certainly spending time to learn software languages pertinent to building a particular solution you want is always ideal, however if time isn&#8217;t available for that then you can learn it yourself, or allocate the necessary investment to have someone else to develop it while you focus on the operations of your business or idea. ",/link-whisper-test-site/the-lack-of-knowledge-in-html-css-or-any-other-programming-language-should-not-be-a-deterrent-to-building-any-idea-or-solution-you-have-in-mind-certainly-spending-time-to-learn-software-languages-p-2/,Post,"Uncategorized",,"January 14, 2022",1,3,6
"A link detection Elementor Post",/link-whisper-test-site/a-link-detection-elementor-post/,Post,"Uncategorized",,"January 17, 2022",0,9,32
"Gutenberg Ultimate Addons testing post",/link-whisper-test-site/gutenberg-ultimate-addons-testing-post/,Post,"Uncategorized",,"January 21, 2022",0,0,1
"self-autolinking test post",/link-whisper-test-site/self-autolinking-test-post/,Post,"Uncategorized",,"January 22, 2022",0,0,2
"Why Are My Dogs Ears Floppy All Of A Sudden",/link-whisper-test-site/why-are-my-dogs-ears-floppy-all-of-a-sudden/,Post,"Uncategorized",,"January 22, 2022",0,6,11
"Praia de Garapuá, em Morro de São Paulo: Veja Como Curtir o Local",/link-whisper-test-site/praia-de-garapua-em-morro-de-sao-paulo-veja-como-curtir-o-local/,Post,"Uncategorized",,"January 24, 2022",0,1,1
"Zoológico de Luján vale a pena? Tudo o que você precisa saber!",/link-whisper-test-site/zoologico-de-lujan-vale-a-pena-tudo-o-que-voce-precisa-saber/,Post,"Uncategorized",,"January 24, 2022",0,3,9
"O contato é bem próximo. Você pode tocar nos tigres e leões sem medo de virar comida.  Todos os animais, desde pequenos, são criados como “cachorros” para que esse contato seja permitido e eles não tenham medo do ser humano. Pelo menos, é o que os veterinários do local dizem para justificar a tranquilidade dos felinos.  Discussões à parte (e elas são muitas), o local é um verdadeiro oásis para quem quer ficar mais perto desses bichos.",/link-whisper-test-site/o-contato-e-bem-proximo-voce-pode-tocar-nos-tigres-e-leoes-sem-medo-de-virar-comida-todos-os-animais-desde-pequenos-sao-criados-como-cachorros-para-que-esse-contato-seja-permiti/,Post,"Uncategorized",,"January 24, 2022",0,1,0
"This is a cool testing post about LEGOs",/link-whisper-test-site/this-is-a-cool-testing-post-about-legos/,Post,"Uncategorized",,"January 30, 2022",0,0,2
